pid,ad_id,overall_rating,free_response
153,1469561,2,
249,1478334,6,
288,1470395,1,
340,1470633,2,
343,1463782,2,
199,1463962,2,Bad grammar (e.g. “at online at Jackrabbit”)
347,1476767,2,
336,1477164,2,
300,1469656,4,
298,1467128,4,
233,1469526,3,It would be intrusive and slow down my computer.
212,1461270,4,
295,1463748,2,
202,1461279,2,The photo itself looks fake.
278,1462907,2,
289,1462506,4,
276,1471578,6,
284,1464793,3,
224,1480748,3,
268,1464590,4,
269,1469836,3,
281,1461830,4,
364,1461270,7,
151,1475695,3,"Don't like the idea of having to hand over personal information in exchange for something, especially when I don't know what the company will do with that information."
408,1465132,1,
243,1478753,4,
198,1465162,1,
191,1463810,5,
271,1465472,4,
329,1476136,3,
214,1469723,4,
318,1480433,2,
259,1479071,3,
332,1463816,6,It looks like an informational ad that can provide you genuine information.
144,1467484,5,
226,1462162,2,
186,1469101,5,
209,1477576,2,
185,1464094,3,I had to strain my eyes to read it
305,1471867,2,
340,1464590,2,
316,1472499,4,
241,1469561,5,
230,1475019,1,
300,1468161,1,
355,1471419,3,
267,1464894,1,
295,1476889,4,
344,1474143,5,
341,1463250,4,
255,1470821,3,
316,1474809,4,
345,1468142,5,
311,1479419,1,
276,1479467,4,
171,1466493,6,"If I wouldn't have clearly looked at the ad, I would not have seen that it is screening for autism, I thought it was for Sesame Street so it is a bit deceptive in that aspect."
298,1476490,4,
245,1477062,2,
277,1462117,7,
343,1473802,1,
200,1463844,3,
286,1466396,4,
408,1474143,1,
315,1477559,5,
304,1462839,2,
188,1463816,4,
303,1475695,6,
190,1477410,1,
273,1465095,2,
225,1462747,5,
289,1465380,1,
301,1465019,5,
279,1461550,4,
349,1479419,6,
334,1462915,3,
128,1479182,4,
338,1480433,5,
336,1477704,3,
325,1476227,2,
154,1474636,3,
322,1478790,2,
281,1468697,1,
276,1465270,7,
191,1466686,6,
271,1473773,1,
347,1469656,3,
233,1476876,3,It would be intrusive and slow down my computer.
346,1471578,4,
408,1479017,1,
341,1466565,4,
311,1464094,4,
246,1468122,2,no
316,1478837,4,
321,1468959,4,
149,1461270,5,
195,1478616,4,
329,1464995,3,
349,1469393,3,
318,1478837,4,
300,1466945,2,
348,1474143,4,
